,1. open,2. high,3. low,4. close,5. volume
2024-03-06 17:30:00,71.1700,71.1700,71.1700,71.1700,1
2024-03-06 17:00:00,70.1600,70.1600,70.1600,70.1600,6
2024-03-06 16:00:00,70.1600,70.3100,68.7700,70.3100,245626
2024-03-06 15:30:00,69.9700,70.2000,69.8300,70.1600,402013
2024-03-06 15:00:00,69.7050,70.0600,69.7000,69.9900,107428
2024-03-06 14:30:00,69.6000,69.7550,69.4000,69.7100,63414
2024-03-06 14:00:00,69.6200,69.6700,69.3950,69.5950,46160
2024-03-06 13:30:00,69.9100,70.0400,69.5600,69.6400,48366
2024-03-06 13:00:00,70.3150,70.3150,69.7450,69.9200,39301
2024-03-06 12:30:00,70.3650,70.5150,70.1900,70.3130,68851
2024-03-06 12:00:00,70.3100,70.4800,69.8500,70.3650,76435
2024-03-06 11:30:00,70.5000,70.5300,70.1000,70.3100,184799
2024-03-06 11:00:00,71.2800,71.3500,70.2600,70.5500,136707
2024-03-06 10:30:00,71.4500,71.7400,71.2000,71.3200,99518
2024-03-06 10:00:00,71.9800,72.2380,71.3250,71.4250,111148
2024-03-06 09:30:00,72.0900,72.8600,71.5050,72.0100,173442
2024-03-06 09:00:00,71.8300,71.8300,71.8300,71.8300,4
2024-03-05 16:00:00,72.0600,72.0600,70.6200,72.0500,314408
2024-03-05 15:30:00,71.4400,72.0900,71.4400,72.0600,358743
2024-03-05 15:00:00,71.3900,71.4900,71.1600,71.4500,119355
2024-03-05 14:30:00,71.4200,71.4200,71.2300,71.4000,68607
2024-03-05 14:00:00,71.2350,71.4300,71.2280,71.4100,43037
2024-03-05 13:30:00,71.2300,71.3400,71.2100,71.2350,40077
2024-03-05 13:00:00,71.0400,71.2650,71.0000,71.2650,53756
2024-03-05 12:30:00,71.0400,71.3200,70.9900,71.0800,72454
2024-03-05 12:00:00,70.9230,71.1300,70.8500,71.0400,66108
2024-03-05 11:30:00,71.1750,71.3400,70.8600,70.9080,51690
2024-03-05 11:00:00,70.8450,71.2200,70.5650,71.1750,51808
2024-03-05 10:30:00,70.6400,70.9900,70.4330,70.8500,76429
2024-03-05 10:00:00,71.0800,71.2800,70.4900,70.6800,91250
2024-03-05 09:30:00,72.3400,72.9450,71.0000,71.0750,96464
2024-03-05 09:00:00,72.2300,72.5500,72.2300,72.5500,18
2024-03-05 06:30:00,72.5600,72.5600,72.5500,72.5500,10
2024-03-04 16:30:00,72.8900,72.8900,72.8900,72.8900,10
2024-03-04 16:00:00,72.8900,72.8900,72.0100,72.7000,305707
2024-03-04 15:30:00,73.3300,73.3600,72.7900,72.8900,285628
2024-03-04 15:00:00,73.5200,73.6900,73.1600,73.3100,84657
2024-03-04 14:30:00,73.2500,73.5700,73.2200,73.5250,71122
2024-03-04 14:00:00,72.9600,73.2650,72.8950,73.2500,59630
2024-03-04 13:30:00,72.8000,73.1800,72.8000,73.0250,39499
2024-03-04 13:00:00,72.9100,72.9400,72.8000,72.8400,70466
2024-03-04 12:30:00,72.9900,73.1500,72.7700,72.8800,167166
2024-03-04 12:00:00,73.0900,73.1900,72.8350,72.9700,73610
2024-03-04 11:30:00,72.7850,73.0700,72.4000,73.0700,77469
2024-03-04 11:00:00,72.8900,73.0200,72.4900,72.7400,159932
2024-03-04 10:30:00,73.1000,73.3200,72.8700,72.9200,57142
2024-03-04 10:00:00,73.0650,73.1450,72.6200,73.0850,48448
2024-03-04 09:30:00,72.8100,73.9000,72.6400,73.0000,96092
2024-03-04 09:00:00,72.2500,73.3000,72.0000,73.3000,1264
2024-03-01 16:30:00,73.3000,73.3000,73.3000,73.3000,52080
2024-03-01 16:00:00,73.3700,73.5000,72.0000,72.0000,498304
2024-03-01 15:30:00,73.2950,73.3750,72.9400,73.3700,451485
2024-03-01 15:00:00,73.4100,73.7000,73.1000,73.3000,134046
2024-03-01 14:30:00,73.1930,73.4200,73.1600,73.4200,98348
2024-03-01 14:00:00,73.0200,73.2500,73.0200,73.2200,29675
2024-03-01 13:30:00,72.9950,73.1400,72.8800,73.0500,156331
2024-03-01 13:00:00,72.9400,73.0400,72.9000,72.9950,35770
2024-03-01 12:30:00,72.8000,73.0350,72.6600,72.9400,30578
2024-03-01 12:00:00,72.5350,72.8900,72.5350,72.8050,27589
2024-03-01 11:30:00,72.3550,72.6200,72.3400,72.5350,38677
2024-03-01 11:00:00,72.5100,72.5450,72.3100,72.3250,75500
2024-03-01 10:30:00,72.1800,72.5900,72.1800,72.5400,52551
2024-03-01 10:00:00,72.4700,72.5250,72.0350,72.1700,43389
2024-03-01 09:30:00,72.9600,73.1200,72.1200,72.4400,42297
2024-03-01 09:00:00,72.7600,72.7600,72.7600,72.7600,3235
2024-03-01 08:30:00,74.3500,74.3500,72.0000,72.0000,5
2024-03-01 08:00:00,72.7600,72.7600,72.7600,72.7600,2
